INFO 2023-04-11 05:37:59,587 "GET /static/dist/img/login.png HTTP/1.1" 304 0
INFO 2023-04-11 05:37:59,588 "GET /static/plugins/jquery/jquery.min.js HTTP/1.1" 304 0
INFO 2023-04-11 05:37:59,670 "GET /static/plugins/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 0
INFO 2023-04-11 05:38:02,179 "POST /accounts/login/ HTTP/1.1" 302 0
INFO 2023-04-11 05:38:02,324 "GET /admin/clearcache/ HTTP/1.1" 200 1947
INFO 2023-04-11 05:38:02,361 "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
INFO 2023-04-11 05:38:02,378 "GET /static/admin/css/dark_mode.css HTTP/1.1" 304 0
INFO 2023-04-11 05:38:02,392 "GET /static/admin/css/base.css HTTP/1.1" 304 0
INFO 2023-04-11 05:38:02,410 "GET /static/admin/css/fonts.css HTTP/1.1" 304 0
INFO 2023-04-11 05:38:02,486 "GET /static/admin/fonts/Roboto-Light-webfont.woff HTTP/1.1" 304 0
INFO 2023-04-11 05:38:02,491 "GET /static/admin/fonts/Roboto-Regular-webfont.woff HTTP/1.1" 304 0
INFO 2023-04-11 05:38:02,501 "GET /static/admin/fonts/Roboto-Bold-webfont.woff HTTP/1.1" 304 0
INFO 2023-04-11 05:38:05,128 "POST /admin/clearcache/ HTTP/1.1" 302 0
INFO 2023-04-11 05:38:05,154 "GET /admin/clearcache/ HTTP/1.1" 200 2099
INFO 2023-04-11 05:38:05,190 "GET /static/admin/css/base.css HTTP/1.1" 304 0
INFO 2023-04-11 05:38:05,208 "GET /static/admin/css/dark_mode.css HTTP/1.1" 304 0
INFO 2023-04-11 05:38:05,223 "GET /static/admin/css/fonts.css HTTP/1.1" 304 0
INFO 2023-04-11 05:38:05,238 "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
INFO 2023-04-11 05:38:05,275 "GET /static/admin/fonts/Roboto-Bold-webfont.woff HTTP/1.1" 304 0
INFO 2023-04-11 05:38:05,280 "GET /static/admin/fonts/Roboto-Regular-webfont.woff HTTP/1.1" 304 0
INFO 2023-04-11 05:38:05,295 "GET /static/admin/fonts/Roboto-Light-webfont.woff HTTP/1.1" 304 0
INFO 2023-04-11 05:38:05,331 "GET /static/admin/img/icon-yes.svg HTTP/1.1" 200 436
INFO 2023-04-11 06:39:20,970 C:\Users\rakib\OneDrive\Desktop\ManasAcademy\Manas_Academy\apps\finance\models.py changed, reloading.
INFO 2023-04-11 06:39:22,763 Watching for file changes with StatReloader
INFO 2023-04-11 06:39:31,087 C:\Users\rakib\OneDrive\Desktop\ManasAcademy\Manas_Academy\apps\finance\models.py changed, reloading.
INFO 2023-04-11 06:39:32,824 Watching for file changes with StatReloader
INFO 2023-04-11 06:53:14,466 C:\Users\rakib\OneDrive\Desktop\ManasAcademy\Manas_Academy\apps\finance\admin.py changed, reloading.
INFO 2023-04-11 06:53:15,863 Watching for file changes with StatReloader
INFO 2023-04-11 06:54:16,278 C:\Users\rakib\OneDrive\Desktop\ManasAcademy\Manas_Academy\apps\finance\admin.py changed, reloading.
INFO 2023-04-11 06:54:17,776 Watching for file changes with StatReloader
INFO 2023-04-11 06:54:36,164 C:\Users\rakib\OneDrive\Desktop\ManasAcademy\Manas_Academy\apps\finance\admin.py changed, reloading.
INFO 2023-04-11 06:54:37,639 Watching for file changes with StatReloader
INFO 2023-04-11 06:54:56,142 "GET /admin/ HTTP/1.1" 200 4602
INFO 2023-04-11 06:54:56,191 "GET /static/admin/css/base.css HTTP/1.1" 304 0
INFO 2023-04-11 06:54:56,215 "GET /static/admin/css/dark_mode.css HTTP/1.1" 304 0
INFO 2023-04-11 06:54:56,238 "GET /static/admin/css/fonts.css HTTP/1.1" 304 0
INFO 2023-04-11 06:54:56,249 "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
INFO 2023-04-11 06:54:56,259 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
INFO 2023-04-11 06:54:56,269 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
INFO 2023-04-11 06:54:56,295 "GET /static/admin/css/dashboard.css HTTP/1.1" 304 0
INFO 2023-04-11 06:54:56,350 "GET /static/admin/fonts/Roboto-Light-webfont.woff HTTP/1.1" 304 0
INFO 2023-04-11 06:54:56,368 "GET /static/admin/fonts/Roboto-Bold-webfont.woff HTTP/1.1" 304 0
INFO 2023-04-11 06:54:56,404 "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 304 0
INFO 2023-04-11 06:54:56,467 "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 304 0
INFO 2023-04-11 06:54:56,483 "GET /static/admin/fonts/Roboto-Regular-webfont.woff HTTP/1.1" 304 0
INFO 2023-04-11 06:55:00,997 "GET /admin/finance/receipt/ HTTP/1.1" 200 5405
INFO 2023-04-11 06:55:01,053 "GET /static/admin/css/base.css HTTP/1.1" 304 0
INFO 2023-04-11 06:55:01,088 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
INFO 2023-04-11 06:55:01,121 "GET /static/admin/css/dark_mode.css HTTP/1.1" 304 0
INFO 2023-04-11 06:55:01,156 "GET /static/admin/css/fonts.css HTTP/1.1" 304 0
INFO 2023-04-11 06:55:01,199 "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
INFO 2023-04-11 06:55:01,228 "GET /static/admin/js/core.js HTTP/1.1" 200 5698
INFO 2023-04-11 06:55:01,250 "GET /static/admin/js/jquery.init.js HTTP/1.1" 200 347
INFO 2023-04-11 06:55:01,274 "GET /static/admin/css/changelists.css HTTP/1.1" 200 6395
INFO 2023-04-11 06:55:01,289 "GET /static/admin/js/urlify.js HTTP/1.1" 200 7902
INFO 2023-04-11 06:55:01,331 "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 200 288580
INFO 2023-04-11 06:55:01,355 "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 200 8985
INFO 2023-04-11 06:55:01,379 "GET /static/admin/js/actions.js HTTP/1.1" 200 7872
INFO 2023-04-11 06:55:01,386 "GET /admin/jsi18n/ HTTP/1.1" 200 3343
INFO 2023-04-11 06:55:01,431 "GET /static/admin/js/prepopulate.js HTTP/1.1" 200 1531
INFO 2023-04-11 06:55:01,447 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
INFO 2023-04-11 06:55:01,473 "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 200 232381
INFO 2023-04-11 06:55:01,524 "GET /static/admin/fonts/Roboto-Regular-webfont.woff HTTP/1.1" 304 0
INFO 2023-04-11 06:55:01,555 "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 304 0
INFO 2023-04-11 06:55:01,591 "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 200 331
INFO 2023-04-11 06:55:01,616 "GET /static/admin/js/filters.js HTTP/1.1" 200 966
INFO 2023-04-11 06:55:01,639 "GET /static/admin/fonts/Roboto-Light-webfont.woff HTTP/1.1" 304 0
INFO 2023-04-11 06:55:01,652 "GET /static/admin/fonts/Roboto-Bold-webfont.woff HTTP/1.1" 304 0
INFO 2023-04-11 06:55:09,379 "GET /admin/finance/receipt/add/ HTTP/1.1" 200 8447
INFO 2023-04-11 06:55:09,459 "GET /static/admin/css/dark_mode.css HTTP/1.1" 304 0
INFO 2023-04-11 06:55:09,499 "GET /static/admin/css/base.css HTTP/1.1" 304 0
INFO 2023-04-11 06:55:09,529 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
INFO 2023-04-11 06:55:09,543 "GET /static/admin/css/fonts.css HTTP/1.1" 304 0
